cluster	rank	gene	score	logfoldchange	pvals_adj	pct_nonzero_in_cluster
9	49	ARHGAP10	17.575624	3.3736365	1.8949289181471193e-66	0.5777027027027027
9	50	SOD3	17.572624	2.764138	1.9608240566266696e-66	0.17905405405405406
10	1	B2M	26.840607	1.9645809	2.8793421494259643e-154	0.0
10	2	HLA-A	25.328135	2.3642867	2.0754661823934914e-137	0.0
10	3	HLA-C	24.733625	2.4345725	4.1123585790191957e-131	0.0
10	4	SRGN	23.782001	4.093162	3.4003183752764844e-121	0.11824324324324324
10	5	IFI27	23.059404	3.033581	6.176424826446538e-114	0.11824324324324324
10	6	HLA-B	23.05222	2.0497694	6.176424826446538e-114	0.0
10	7	STOM	22.398937	2.9528344	1.52708925599964e-107	0.006756756756756757
10	8	CD9	22.262749	2.9613168	2.8138144070979603e-106	0.0
10	9	TM4SF1	22.193142	3.2754297	1.178774233577439e-105	0.0
10	10	RNASE1	21.739645	3.060052	2.2957158326124268e-101	0.0472972972972973
10	11	CLDN5	21.573196	3.4428434	7.732880326232355e-100	0.0
10	12	HLA-E	21.437645	2.156217	1.3160890603534715e-98	0.016891891891891893
10	13	EPAS1	21.29803	2.8715858	2.4151976986819287e-97	0.006756756756756757
10	14	BST2	20.969164	2.2684424	2.3763899423175164e-94	0.0
10	15	ICAM2	20.239931	2.843523	7.704702117381109e-88	0.0
10	16	ZFP36	20.190065	2.9344325	1.9841412316427091e-87	0.0
10	17	CLEC14A	20.176546	2.7409186	2.454861018612079e-87	0.0
10	18	CD59	20.010233	2.1487756	6.60864928924896e-86	0.20608108108108109
10	19	RAMP2	19.690575	2.6297016	3.625276731758487e-83	0.010135135135135136
10	20	TAGLN2	19.166319	1.9648454	9.380324127626531e-79	0.006756756756756757
10	21	APOLD1	19.10044	3.4644835	3.161823576651286e-78	0.0
10	22	SOX17	19.097933	3.6771114	3.1665261734333306e-78	0.013513513513513514
10	23	KLF4	19.038992	3.105156	9.34803735484974e-78	0.14527027027027026
10	24	SOCS3	19.020952	2.7992008	1.2639602287078544e-77	0.8175675675675675
10	25	FKBP1A	19.005308	1.9020069	1.6350860276447547e-77	0.006756756756756757
10	26	ADGRL4	18.971859	2.667849	2.9723955343777594e-77	0.1891891891891892
10	27	A2M	18.713974	2.2724984	3.741190329358183e-75	0.0033783783783783786
10	28	ENG	18.606073	2.4285328	2.717213483173113e-74	0.02364864864864865
10	29	SRP14	18.369696	1.588387	1.9036113418530773e-72	0.0
10	30	CD74	18.309177	2.4727967	5.61891410200601e-72	0.006756756756756757
10	31	MGLL	18.278168	2.5550907	9.633437661157813e-72	0.016891891891891893
10	32	IFITM3	18.222147	1.537513	2.609326970270683e-71	0.07432432432432433
10	33	NOTCH4	18.177788	2.8157332	5.7012420787725735e-71	0.037162162162162164
10	34	CRIP2	18.114954	2.0729203	1.740843464221312e-70	0.4527027027027027
10	35	CDKN1A	18.067493	2.7059186	4.010451864196434e-70	0.5
10	36	JAM2	18.061193	2.6356852	4.3431248785947013e-70	0.05067567567567568
10	37	EMP1	18.060265	2.2716103	4.3431248785947013e-70	0.12837837837837837
10	38	JUNB	17.54316	2.4243655	4.23628120664588e-66	0.0033783783783783786
10	39	SAT1	17.53892	2.4794457	4.4584048557968763e-66	0.25
10	40	ESAM	17.341114	2.2614877	1.356815258661792e-64	0.0
10	41	PCAT19	17.23729	2.316552	7.703212343590672e-64	0.0
10	42	IFITM1	17.232197	2.3518717	8.240540134183183e-64	0.05405405405405406
10	43	IFITM2	17.188307	1.8188109	1.7231586355817607e-63	0.02027027027027027
10	44	IFI44L	16.97488	2.7086556	6.5524982929506465e-62	0.2635135135135135
10	45	BCAM	16.934795	2.0201786	1.2710194982062679e-61	0.21283783783783783
10	46	CAV1	16.920673	2.128623	1.5851222759090277e-61	0.0
10	47	CDC37	16.565317	1.8204855	5.985007524986572e-59	0.0472972972972973
10	48	PI3	16.541527	2.3406851	8.727603970769043e-59	0.037162162162162164
10	49	CYYR1	16.494213	2.6363337	1.878684412813789e-58	0.5405405405405406
10	50	TACC1	16.40509	2.128906	8.041205502965193e-58	0.23986486486486486
11	1	COL3A1	28.307558	6.4041734	7.397871750671521e-172	0.003472222222222222
11	2	COL6A3	28.231594	5.352043	3.176081779933889e-171	0.0
11	3	COL1A2	27.763464	5.886711	1.0595300301144156e-165	0.0
11	4	COL6A1	27.733618	4.459182	1.8210423718198135e-165	0.1840277777777778
11	5	COL1A1	27.687555	6.164805	5.229606854395408e-165	0.16666666666666666
11	6	COL6A2	27.637342	4.3281946	1.75110070141482e-164	0.0
11	7	LRP1	27.455736	5.105857	2.2482258362521974e-162	0.020833333333333332
11	8	CD81	26.834234	3.6594708	4.271526952974127e-155	0.003472222222222222
11	9	LAMA2	26.679264	5.4832234	2.4139881619635164e-153	0.0
11	10	GSN	26.410307	4.245126	2.7667832347716014e-150	0.04513888888888889
11	11	MGP	26.301853	4.7410026	4.403114206448319e-149	0.010416666666666666
11	12	LAMB1	26.141747	4.1477447	2.7033822107321657e-147	0.03125
11	13	SRPX	26.091274	4.7883134	9.342543440928565e-147	0.003472222222222222
11	14	COL5A1	26.044758	4.6784887	2.921920203234789e-146	0.003472222222222222
11	15	MT-ATP6	25.79534	2.841713	1.768334388693978e-143	0.0
11	16	DPT	25.737392	5.0628333	7.395040297726566e-143	0.017361111111111112
11	17	TIMP2	25.654114	3.6694937	5.93436846897459e-142	0.024305555555555556
11	18	C3	25.614944	5.0962205	1.5320172490725187e-141	0.22916666666666666
11	19	MTRNR2L12	25.602743	4.206435	1.984689916209377e-141	0.027777777777777776
